success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,participant_id,screen_width,screen_height,is_mobile,age,gender,ai_use_frequency,ai_detection_experience,rt,stimulus,response,save_trial,trial_id,block,target_origin,set_size,target_present,cue_image,composite_image,target_position,correct_key,repetition,is_practice,no_response,correct,trial_index_global,true_origin,filename,realism_rating,classification_response,classification_correct
,,,,,html-keyboard-response,13,91950,0.0-13.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<p style=""color:#808080;font-size:1px"">.</p>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,14,95525,0.0-14.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,3574,"<div style=""text-align:center""><img src=""ff_v4_025.png"" style=""max-width:90vw;max-height:72vh;display:block;margin:0 auto""><p style=""color:#fff;font-size:18px;margin-top:16px"">Было ли запомненное лицо в наборе?</p><div class=""keys"" style=""margin-top:12px""><div class=""key"">←<span>НЕ БЫЛО</span></div><div class=""key"">→<span>БЫЛО</span></div></div></div>",arrowleft,true,ff_025,face_face,ai,8,false,ai_004.png,ff_v4_025.png,,arrowleft,1,true,false,true,15,,,,,
,,,,,html-keyboard-response,15,96326,0.0-15.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<p class=""fb-yes"">Верно</p>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,16,96835,0.0-16.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<p style=""color:#808080;font-size:1px"">.</p>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,17,97343,0.0-17.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<p style=""font-size:60px;color:#fff;margin:0"">+</p>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,18,98855,0.0-18.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<div style=""text-align:center""><p style=""color:#fff;font-size:18px;margin-bottom:12px"">Запомните это лицо</p><img src=""ai_001.png"" style=""width:256px;height:256px;object-fit:contain;border:3px solid #fff;border-radius:4px;background:#808080""></div>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,19,99363,0.0-19.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<p style=""color:#808080;font-size:1px"">.</p>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,20,100302,0.0-20.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,938,"<div style=""text-align:center""><img src=""ff_v4_040.png"" style=""max-width:90vw;max-height:72vh;display:block;margin:0 auto""><p style=""color:#fff;font-size:18px;margin-top:16px"">Было ли запомненное лицо в наборе?</p><div class=""keys"" style=""margin-top:12px""><div class=""key"">←<span>НЕ БЫЛО</span></div><div class=""key"">→<span>БЫЛО</span></div></div></div>",arrowright,true,ff_040,face_face,ai,8,true,ai_001.png,ff_v4_040.png,5,arrowright,1,true,false,true,21,,,,,
,,,,,html-keyboard-response,21,101118,0.0-21.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<p class=""fb-yes"">Верно</p>",null,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,22,101626,0.0-22.0,1,1,2026-06-10 16:23:18,fac33314ff793864f6ca77dbc392f4f8,50.7.47.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 YaBrowser/26.4.0.0 Safari/537.36",desktop,Chrome,146.0.0.0,Windows,10.0,null,"ru,en;q=0.9",p_1781108603474_wyud,1440,960,false,18,female,4,3,null,"<p style=""color:#808080;font-size:1px"">.</p>",null,,,,,,,,,,,,,,,,,,,,
